#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
121,French Polynesia,"18,387",,139 ,,"4,842",,"13,406",6,"65,207",493,"26,355","93,464","281,979 ",Australia/Oceania,"152,02911"
122,Mauritania,"17,196",,440 ,,"16,542",,214,14,"3,636",93,"172,508","36,476","4,729,416 ",Africa,"27510,74927"
123,Eswatini,"17,002",,650 ,,"14,446",,"1,906",36,"14,556",556,"151,217","129,459","1,168,072 ",Africa,"691,7978"
124,Mayotte,"16,861",,109 ,,"2,964",,"13,788",22,"60,845",393,"123,040","444,002","277,116 ",Africa,"162,5422"
125,French Guiana,"16,627",,85 ,,"9,995",,"6,547",6,"54,742",280,"149,894","493,503","303,735 ",South America,"183,5732"
126,Guinea,"15,894",,89 ,,"14,879",,926,24,"1,189",7,"137,777","10,309","13,365,153 ",Africa,"841150,17097"
127,Syria,"15,533",,"1,023 ",,"9,717",,"4,793",,874,58,,,"17,778,410 ",Asia,"1,14517,379"
128,Cabo Verde,"15,324",,147 ,,"14,784",,393,23,"27,366",263,"120,936","215,972","559,961 ",Africa,"373,8095"
129,Gabon,"14,564",,83 ,,"13,143",,"1,338",10,"6,444",37,"524,784","232,199","2,260,059 ",Africa,"15527,2304"
130,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,375",9,,,"9,677,747 ",Asia,"727107,531"
131,Haiti,"12,448",,249 ,,"9,712",,"2,487",,"1,083",22,"54,379","4,731","11,493,946 ",North America,"92346,160211"
132,Réunion,"12,416",,52 ,,"11,270",,"1,094",55,"13,803",58,"98,785","109,819","899,525 ",Africa,"7217,2999"
133,Belize,"12,293",,315 ,,"11,836",,142,2,"30,552",783,"83,888","208,490","402,360 ",North America,"331,2775"
